"","Country","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"11","Bahamas",66.9243265715436,55.1937790792675,57.1647702231855,58.5625605931577,46.3383291330075,49.1946010999504,44.9650294218452,48.2559779538843,57.0955161140978,44.5224286582457,39.6739347632197,57.600407443555,34.8836293596123,43.6568250350634,64.3254384809329,46.9990108841954,52.2592886078426,48.4286278099332,38.8124064171141,29.8624673737113,28.8774936425865
"12","Bahrain",244.415224029757,252.804496394386,244.305447668537,218.112710336522,249.803722652659,305.307632647484,311.677969928405,328.241778407075,333.600759073205,343.602447623593,370.869826480941,370.275356800079,377.489980134913,388.621774001169,405.982846537596,398.933495450886,399.88299960945,433.803998229286,452.744558226417,501.419255683402,493.750464456671
"13","Bangladesh",62708.455355968,63348.1509225337,68461.1582101095,70359.3266952236,72013.2341679533,72138.185198929,73050.8300921253,75836.1317161584,78575.8300152225,79827.6439329123,79956.9742437739,85062.9066657294,81809.2907217854,82266.7174722243,83409.8305644389,79340.0488630997,83071.3222395735,82816.2530990003,85840.7646792748,91060.4507288446,97998.6523049669
"14","Belarus",11891.9785608947,11956.3995037841,10820.7993777393,10990.5962325413,12476.1154298818,10892.3109111565,10423.4946306985,11143.910294292,11377.8948752238,10094.7260944751,9657.8591862498,10398.7997020309,10768.5805382587,9895.63350752205,8756.94462113409,8794.17227278231,8847.76529741695,8411.58154087877,8174.59529893235,8417.33537962021,8359.94037621464
"15","Belgium",7821.76827672962,7026.34598581195,6905.92638000057,6483.28810050354,6415.96444072446,6894.33048061783,6281.87296445705,5790.54238480294,6211.09973354516,5571.14129272978,5751.60713878674,5945.61897475828,5980.68936114779,5603.92625880641,5744.86032946274,5569.87997815702,5057.57784446256,5185.72826279978,5147.52206760279,5133.56237893635,5335.04429174756
"16","Belize",60.768555118194,59.0321617789693,71.4421329135519,60.0627651674117,54.9882869489643,64.1681159565624,49.794942531653,61.5164385015534,58.1361035589602,63.9338451193854,56.4090403289099,65.1879638696339,53.3492185854,69.2891686138546,65.7724291936105,80.9955041588059,81.4053335078067,84.3639150601117,80.7802626496676,76.6856334760523,89.4752317421949
"17","Benin",5002.14208638454,4404.39762548818,5042.2551644967,4615.41129573245,4855.68513673795,4585.64221792446,5162.38669473728,4966.45739616212,4912.91370169419,5191.63302757831,5369.00088978155,5034.56855246565,5315.07723945852,5247.12810181679,5475.88385526372,5166.4964227666,5151.37785895674,5936.00753266323,5888.73429281692,5889.56755966193,5910.0941541522
"18","Bhutan",227.077015487907,227.004359105216,249.394316135425,251.798411977699,251.827194546438,266.778846113013,282.047786324877,284.463636891246,282.402405749274,297.720931176316,313.104565113443,329.810843053591,326.531055251748,324.828053452138,362.013186402373,346.930742205612,369.183986116405,368.397791239285,373.57879637499,386.078975769001,364.171492521196
"19","Bolivia",2845.70873875524,2759.40189146895,2519.37222615185,2172.96624687139,2444.10198999696,2075.91939146994,2397.95764192334,2443.9782311916,2128.64834021704,2732.28971185691,2167.59476711923,2663.13682687891,3146.57786254811,2936.40306714633,2828.61940178614,2796.93899022179,2954.58550762906,3273.04884943921,3380.46929002917,3398.1927913684,3286.28652494231
"20","Bosnia and Herzegovina",2534.68757171861,2560.61818215183,2605.65500177065,2576.00300762307,2780.05144451292,2773.84903065694,2756.07403873666,2930.49494119948,2876.50377806253,2893.03350858682,2777.75805282667,2939.08044275971,2857.71234737604,3053.53246943938,2932.49345822056,2958.75171423196,2793.04103638887,3075.32031114129,2843.40013382241,2707.49551008795,2951.76999518903
