"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"72","Indonesia","403.41","405.8","426.06","440.94","460.93","483.16","506.18","535.13","562.41","598.69","634.27","663.4","702.19","745.36","789.08","833.17","871.25","911.25","956.95","1005.93","1057.53"
"73","Iran","278.79","280.04","296.35","298.26","319.79","347.29","362.44","372.95","390.72","422.22","421.81","425.04","450.77","462.12","426","423.8","442.77","435.73","494.96","512.4","477.28"
"74","Iraq","80.05","94.8","95.69","97.88","91.1","60.38","94.12","98.16","108.35","109.93","118.43","121.76","129.34","139.18","158.62","170.82","172.01","176.05","203.16","197.65","195.54"
"75","Ireland","126.94","141.52","155.69","165.82","176.02","179.2","196.71","206.85","217.85","229.72","220.24","209","213.98","214.51","215.28","218.27","236.98","298.12","309.28","335.09","361.71"
"76","Israel","144.87","149.9","160.92","161.35","161.29","162.81","170.29","177.67","187.58","198.74","205.22","207.61","219.28","229.82","235.33","245.1","254.96","260.3","272.22","281.35","290.22"
"77","Italy","1720.33","1749.43","1828.67","1891.06","1886.51","1887.62","1931.38","1951.77","1991.04","2027.71","2006.28","1891.1","1937.49","1943.2","1892.12","1859.11","1860.41","1867.18","1900.71","1940.23","1937.87"
"78","Jamaica","11.52","11.6","11.67","11.84","12.1","12.51","12.72","12.81","13.12","13.24","13.17","12.66","12.53","12.76","12.66","12.7","12.73","12.84","13.04","13.16","13.37"
"79","Japan","4836.11","4852.56","4935.95","4974.78","5001.41","5062.42","5199.81","5254.52","5318.91","5418.82","5340.47","5061.1","5284.6","5270.5","5341.96","5453.33","5469.24","5557.47","5607.35","5677.82","5698.35"
"80","Jordan","12.79","13.25","13.79","14.51","15.32","15.97","17.32","18.74","20.3","22","23.67","25","25.6","26.24","26.85","27.63","28.44","29.11","29.71","30.31","30.88"
"81","Kazakhstan","51.07","52.75","58.09","66.27","72.57","79.32","86.79","95.41","104.82","114.45","117.15","120.58","128.84","138.39","144.66","153.1","161.08","163.88","165.53","172.16","178.63"
"82","Kenya","24.92","25.56","25.67","26.61","26.78","27.65","29.06","30.75","32.71","34.94","35","36.04","39.03","41.36","43.3","45.84","48.32","50.99","53.95","56.68","60.21"
"83","Kiribati","0.14","0.14","0.14","0.14","0.15","0.15","0.15","0.16","0.16","0.16","0.16","0.16","0.15","0.16","0.16","0.17","0.17","0.19","0.2","0.2","0.2"
"84","Kuwait","67.7","65.94","68.91","69.39","71.2","83.65","92.45","101.69","109.64","116.25","117.93","109.29","107.37","118.19","125.99","127.5","128.8","128.73","132.64","125.79","127.05"
"85","Lao PDR","3.03","3.23","3.41","3.61","3.81","4.07","4.3","4.62","5.03","5.39","5.84","6.26","6.79","7.34","7.92","8.52","9.21","9.9","10.53","11.3","11.98"
"86","Latvia","13.45","13.83","14.79","15.74","16.61","18.05","19.82","21.53","23.65","26.46","25.81","22.09","20.91","22.62","23.64","24.17","24.59","25.75","26.25","27.44","28.28"
"87","Lebanon","20.77","20.66","20.97","21.73","22.47","23.19","24.66","25.35","25.77","28.21","30.71","33.67","36.39","36.69","37.71","38.76","39.44","39.53","40.19","40.41","39.51"
"88","Lesotho","1.54","1.55","1.6","1.66","1.67","1.75","1.78","1.84","1.91","2","2.13","2.17","2.29","2.45","2.6","2.64","2.71","2.79","2.88","2.82","2.86"
"89","Liberia","NA","NA","1.68","1.74","1.8","1.26","1.29","1.36","1.47","1.61","1.73","1.82","1.94","2.09","2.26","2.45","2.46","2.46","2.42","2.48","2.51"
"90","Libya","NA","43.77","45.32","44.45","43.95","49.67","52.01","58.27","62.26","66.18","67.78","67.03","70.22","26.18","59.65","51.09","38.38","34.87","33.7","42.96","46.17"
