"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"50","Estonia",2.31,2.23,2.24,2.32,2.57,2.64,2.58,3.01,3.44,3.28,2.89,2.5,2.72,2.51,2.44,2.45,2.71,2.13,2.39,2.13,3.08
"51","Eswatini",0.09,0.11,0.15,0.14,0.14,0.14,0.15,0.18,0.19,0.2,0.22,0.22,0.23,0.21,0.23,0.21,0.21,0.21,0.19,0.22,0.22
"52","Ethiopia",0.32,0.3,0.34,0.41,0.4,0.37,0.41,0.43,0.48,0.53,0.6,0.63,0.67,0.77,0.84,0.93,1.04,1.16,1.28,1.41,1.5
"53","Fiji",0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.07,0.07,0.06,0.06,0.04,0.04,0.05,0.08,0.08,0.05,0.05,0.05,0.05,0.05
"54","Finland",16.06,16.8,15.69,14.71,14.54,14.86,14.05,14.23,16.84,13.72,13.55,13.54,14.89,13.71,12.72,12.12,14.65,10.6,11.65,7.72,13.88
"55","France",171.16,171.87,163.2,162.87,157.22,169.11,150.6,150.17,159.11,153.63,152.31,158.61,155.59,154.68,154.69,160.13,137.64,149.99,150.72,144.91,155.4
"56","Gabon",0.99,0.82,0.86,0.82,0.8,0.87,0.84,0.82,0.73,0.76,0.81,0.77,0.85,0.89,0.89,0.99,0.98,1.09,1.13,1.08,1.09
"57","Georgia",2.1,2.24,2.37,2.49,2.81,3.42,3.81,4.43,4.91,5.09,5.36,5.34,6.22,6.58,6.87,7.05,7.71,8.05,8.42,9.44,9.97
"58","Germany",382.38,357.48,345.53,334.46,341.88,334.18,307.2,304.01,321.26,306.77,317.07,312.21,342.73,339.2,330.39,343.96,325,343.98,344.71,335.11,346.11
"59","Ghana",0.85,0.83,0.92,0.87,1.01,1.01,1.16,1.18,1.24,1.41,1.5,1.48,1.63,1.92,2.13,2.17,2.19,2.52,2.57,2.85,2.92
