"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"82","Kenya","0.331","0.26","0.281","0.345","0.322","0.277","0.272","0.295","0.32","0.369","0.368","0.444","0.509","0.608","0.625","0.632","0.63","0.699","0.716","0.614","0.714"
"83","Kiribati","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Kuwait","2.756","3.103","3.281","2.837","3.138","3.766","3.977","4.873","4.97","5.337","6.561","5.927","5.04","5.214","5.761","5.475","4.94","5.57","5.583","5.728","5.864"
"85","Lao PDR","0.106","0.148","0.157","0.162","0.175","0.161","0.191","0.197","0.201","0.235","0.223","0.248","0.276","0.288","0.31","0.352","0.366","0.381","0.449","0.432","0.48"
"86","Latvia","1.487","1.545","1.471","1.548","1.916","2.049","1.975","2.626","3.387","3.289","2.941","2.551","2.573","2.383","2.409","2.49","2.593","2.319","2.307","2.209","2.744"
"87","Lebanon","0.572","0.544","0.558","0.605","0.629","0.668","0.712","0.729","0.775","0.9","1.012","1.156","1.313","1.345","1.276","1.259","1.267","1.321","1.289","1.298","2.256"
"88","Lesotho","0.033","0.034","0.037","0.041","0.043","0.043","0.039","0.043","0.051","0.052","0.06","0.077","0.083","0.091","0.097","0.098","0.106","0.104","0.104","0.09","0.089"
"89","Liberia",NA,NA,"0.065","0.053","0.057","0.033","0.04","0.038","0.035","0.04","0.043","0.043","0.042","0.049","0.052","0.052","0.051","0.057","0.053","0.049","0.051"
"90","Libya",NA,"1.224","1.276","1.276","1.244","1.462","1.435","1.64","1.67","2.029","2.144","2.202","2.406","0.677","1.667","1.551","1.088","1.006","1.02","1.343","1.864"
"91","Lithuania","1.973","1.907","1.838","1.982","2.358","2.652","2.588","3.398","4.155","4.496","4.366","3.521","3.927","3.771","3.803","3.881","4.005","3.89","3.909","3.721","4.15"
"92","Luxembourg","3.005","2.889","2.747","2.671","2.685","2.802","2.639","2.635","2.796","2.668","2.627","2.541","2.733","2.632","2.503","2.716","2.395","2.441","2.404","2.283","2.393"
"93","Madagascar","0.022","0.01","0.015","0.078","0.02","0.018","0.009","0.023","0.016","0.023","0.016","0.048","0.048","0.075","0.051","0.067","0.056","0.083","0.083","0.026","0.034"
"94","Malawi","0.078","0.073","0.075","0.081","0.069","0.064","0.065","0.066","0.065","0.084","0.082","0.096","0.098","0.113","0.113","0.11","0.117","0.117","0.115","0.094","0.086"
"95","Malaysia","4.898","6.012","6.35","6.039","6.656","6.725","7.638","8.059","9.917","9.391","9.882","10.888","10.435","12.886","13.906","14.297","16.454","17.942","17.044","17.999","20.72"
