"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"53","Fiji","0.02","0.03","0.03","0.04","0.04","0.05","0.07","0.07","0.07","0.06","0.06","0.04","0.04","0.05","0.08","0.08","0.05","0.05","0.05","0.05","0.05"
"54","Finland","1.66","1.67","1.66","1.87","1.97","2.26","2.19","1.84","2.25","2.23","2","1.94","2.29","2.07","1.89","1.97","1.85","1.76","1.91","1.84","1.98"
"55","France","11.32","11.37","11.54","11.89","11.95","12.31","12.57","12.91","12.84","12.87","12.88","12.62","13.21","12.39","12.67","12.95","11.88","12.41","12.68","13.2","13.15"
"56","Gabon","0.19","0.19","0.19","0.2","0.19","0.22","0.21","0.21","0.19","0.17","0.19","0.19","0.21","0.21","0.22","0.23","0.24","0.25","0.26","0.26","0.27"
"57","Georgia","0.15","0.14","0.15","0.12","0.1","0.11","0.13","0.16","0.18","0.21","0.19","0.22","0.22","0.27","0.3","0.31","0.35","0.39","0.4","0.44","0.44"
"58","Germany","25.01","24.57","24.99","25.94","25.98","26.56","26.59","26.46","27.5","27","27.84","26.29","28.43","28.04","29.01","30.26","29.36","30.18","30.92","31.43","30.61"
"59","Ghana","0.17","0.19","0.18","0.19","0.23","0.22","0.21","0.23","0.28","0.3","0.29","0.34","0.4","0.45","0.54","0.6","0.61","0.65","0.64","0.78","0.82"
"60","Greece","2.47","2.53","2.78","2.9","2.96","3.13","3.18","3.31","3.34","3.52","3.45","3.32","3.13","3.09","2.98","2.77","2.71","2.72","2.67","2.92","2.94"
"61","Greenland","0","0","0","0","0","0","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"62","Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"63","Guatemala","0.24","0.24","0.28","0.3","0.32","0.32","0.34","0.37","0.38","0.42","0.38","0.41","0.41","0.42","0.44","0.51","0.68","0.65","0.71","0.73","0.83"
"64","Guinea","0.03","0.03","0.03","0.03","0.03","0.04","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.06","0.06","0.09","0.09","0.1","0.1","0.12","0.12"
"65","Guinea-Bissau","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.01","0.01","0.01","0.01","0.02","0.02"
"66","Guyana","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.05","0.07","0.06","0.06","0.07","0.07","0.08"
"67","Haiti","0.04","0.04","0.05","0.05","0.06","0.06","0.07","0.07","0.07","0.08","0.09","0.09","0.08","0.09","0.08","0.09","0.11","0.13","0.14","0.14","0.15"
"68","Honduras","0.13","0.14","0.15","0.17","0.19","0.21","0.24","0.25","0.23","0.29","0.29","0.28","0.28","0.32","0.33","0.34","0.36","0.38","0.39","0.4","0.42"
"69","Hungary","1.69","1.73","1.67","1.75","1.75","1.87","1.85","1.9","1.92","1.92","1.92","1.75","1.81","1.81","1.71","1.64","1.67","1.81","1.92","2.06","2.12"
"70","Iceland","0.07","0.08","0.08","0.09","0.09","0.09","0.1","0.1","0.11","0.11","0.13","0.13","0.13","0.13","0.13","0.14","0.14","0.15","0.15","0.16","0.17"
"71","India","24.39","26.8","28.3","29.32","31.07","32.45","35.87","38.27","41.57","46.04","49.87","56.81","60.96","65.59","71.9","74.71","83.47","87.75","92.76","97.56","106.63"
"72","Indonesia","7.7","8.37","8.46","9.24","9.62","10.71","11.1","11.38","12.36","13.05","13.2","13.94","14.57","15.23","15.92","16.41","18.12","18.78","20.07","21.22","22.67"
"73","Iran","8.33","9.37","10.09","10.7","11.4","12.29","13.45","14.8","16.2","17.62","18.31","19.37","19.85","20.6","21.22","22.48","23.81","23.92","25.74","27.7","29.6"
"74","Iraq","2.54","2.13","2.48","2.88","2.76","2.54","2.79","2.83","2.76","2.58","3.02","3.82","4.39","4.79","5.42","5.93","6.25","6.16","6.75","6.89","7.65"
"75","Ireland","1.12","1.18","1.27","1.36","1.35","1.36","1.4","1.49","1.56","1.56","1.57","1.42","1.44","1.32","1.37","1.34","1.36","1.45","1.52","1.51","1.51"
"76","Israel","1.48","1.55","1.7","1.74","1.87","1.96","1.99","1.96","2.1","2.22","2.28","2.3","2.51","2.53","2.82","2.58","2.46","2.57","2.59","2.69","2.73"
"77","Italy","12.38","12.81","13.19","13.43","13.93","14.76","15.39","15.73","15.85","15.93","15.72","14.24","14.86","14.81","14.34","13.41","12.95","13.6","13.77","14.19","14.02"
"78","Jamaica","0.27","0.29","0.29","0.3","0.31","0.32","0.33","0.34","0.4","0.4","0.34","0.27","0.26","0.27","0.26","0.29","0.28","0.28","0.31","0.31","0.32"
"79","Japan","32.78","34.54","35.61","35.95","37.82","38.68","39.38","40.36","40.6","42.72","40.65","39.15","41.7","44.38","46.68","48.48","47.92","47.11","47.71","48.65","48.75"
"80","Jordan","0.41","0.42","0.44","0.46","0.5","0.5","0.57","0.63","0.65","0.69","0.69","0.72","0.72","0.75","0.89","0.89","0.98","0.99","1.02","1.04","1.06"
"81","Kazakhstan","3.78","3.56","3.62","3.59","3.99","4.54","5.05","5.46","6.26","6.77","8.18","7.43","8.24","8.94","9.56","10.33","10.04","9.93","10.35","10.91","12.58"
"82","Kenya","0.21","0.22","0.25","0.23","0.23","0.21","0.25","0.28","0.32","0.32","0.35","0.42","0.46","0.48","0.46","0.52","0.56","0.65","0.75","0.82","0.85"
"83","Kiribati","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Kuwait","1.29","1.41","1.57","1.69","1.81","1.93","2.06","2.38","2.51","2.56","2.74","3","3.01","3.13","3.16","3.49","3.42","3.67","3.78","3.79","4.08"
"85","Lao PDR","0.01","0.01","0.02","0.02","0.03","0.03","0.03","0.03","0.04","0.05","0.05","0.06","0.06","0.08","0.09","0.12","0.09","0.1","0.13","0.14","0.15"
"86","Latvia","0.24","0.23","0.22","0.23","0.23","0.25","0.25","0.26","0.28","0.3","0.29","0.27","0.31","0.29","0.29","0.29","0.29","0.3","0.31","0.31","0.32"
"87","Lebanon","0.45","0.47","0.44","0.48","0.49","0.5","0.51","0.52","0.5","0.47","0.59","0.73","0.72","0.74","0.85","0.86","0.93","0.96","1","1.01","1.04"
"88","Lesotho","0","0","0","0","0","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.01","0.01","0.02","0.03","0.03","0.03","0.03","0.03"
"89","Liberia","NA","NA","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.04","0.04","0.04","0.04","0.05","0.05"
"90","Libya","NA","1.33","1.43","1.45","1.54","1.68","1.72","1.8","1.8","1.69","1.84","1.97","2.15","1.5","1.96","2.03","2.08","1.99","2.09","2.33","2.3"
"91","Lithuania","0.44","0.38","0.34","0.37","0.38","0.38","0.41","0.44","0.46","0.52","0.52","0.44","0.48","0.5","0.52","0.49","0.49","0.51","0.52","0.57","0.59"
