"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"52","Ethiopia","2.73","2.43","2.6","2.9","2.78","2.63","2.57","2.41","2.42","2.4","2.45","2.37","2.24","2.31","2.32","2.33","2.36","2.38","2.4","2.42","2.41"
"53","Fiji","0.8","1.1","1.12","1.46","1.41","1.75","2.33","2.31","2.27","1.96","1.94","1.31","1.27","1.55","2.45","2.34","1.38","1.32","1.29","1.22","1.18"
"54","Finland","8.48","8.5","7.5","6.85","6.66","6.67","6.07","5.98","6.8","5.26","5.16","5.61","5.98","5.37","5.05","4.85","5.89","4.24","4.54","2.92","5.16"
"55","France","7.88","7.65","6.99","6.84","6.53","6.97","6.04","5.92","6.12","5.77","5.71","6.12","5.89","5.73","5.71","5.88","5","5.39","5.36","5.04","5.31"
"56","Gabon","7.09","6.45","6.89","6.43","6.29","6.69","6.42","6.1","5.59","5.49","6.05","5.74","5.92","5.79","5.5","5.79","5.49","5.88","5.97","5.68","5.69"
"57","Georgia","33.03","34.25","35.58","35.67","38.17","41.83","44.04","46.73","47.34","43.59","44.82","46.34","50.8","50.04","49.1","48.64","50.95","51.65","52.5","56.16","56.6"
"58","Germany","12.86","11.8","11.08","10.55","10.8","10.63","9.66","9.49","9.66","8.96","9.17","9.58","10.09","9.61","9.32","9.66","8.93","9.29","9.11","8.64","8.79"
"59","Ghana","5.01","4.69","5.01","4.56","5.06","4.81","5.23","5.03","4.97","5.41","5.27","4.96","5.07","5.23","5.31","5.04","4.95","5.57","5.49","5.63","5.43"
"60","Greece","12.84","13.04","12.97","12.35","12.51","12.21","11.51","11.47","11.36","11.59","11.94","11.79","11.85","12.52","12.45","12.44","12.16","12.37","12.51","12.13","13.18"
"61","Greenland","0","0","0","0","0","0","0.99","0.94","0.89","0.87","0.82","0.81","0.8","1.2","0.79","0.8","0.77","0.79","0.75","0.75","0.72"
"62","Grenada","3.47","3.25","3.09","3.16","3.05","1.39","1.4","1.24","1.29","4.87","1.21","2.58","2.59","1.29","3.91","3.82","3.56","5.57","5.37","5.14","1.97"
"63","Guatemala","5.75","4.07","4.6","3.87","3.64","3.73","3.23","3.62","3.54","3.62","3.35","3.73","3.53","3.81","3.79","4.05","4.15","4.27","4.26","4.09","4.24"
"64","Guinea","6.95","6.5","6.73","5.92","5.81","5.74","6.31","5.96","5.55","5.98","5.9","5.35","5.4","5.39","5.35","5.15","5.32","5.71","5.47","5.44","5.3"
"65","Guinea-Bissau","4.84","4.79","6.06","4.44","4.49","4.46","4.34","4.17","4.07","5.26","5.09","4.93","4.71","5.45","5.54","4.29","4.25","5.01","4.71","4.45","4.29"
"66","Guyana","5.66","5.49","6.13","5.45","4.85","5.42","4.8","5.44","5.18","5.81","5.69","5.5","5.72","5.44","6.75","7.19","6.55","7.42","7.52","7.36","7.4"
"67","Haiti","3.24","3","3.28","3","3.01","3.16","2.94","3.37","3.3","3.65","3.47","3.36","3.17","3.15","3.34","3.34","3.76","3.98","3.79","3.75","3.94"
"68","Honduras","3.63","3.05","3.12","3.22","3.2","3.48","3.28","3.54","3.18","3.6","3.51","3.67","3.47","4.13","4.15","4.37","4.24","4.46","4.34","4","4.09"
"69","Hungary","14.23","14.07","13.09","12.31","12.96","12.93","12.06","13.08","12.91","11.92","11.47","12.31","12.67","12.44","11.55","11.15","10.84","11.6","10.68","10.79","11.12"
"70","Iceland","1.35","1.29","1.14","1.1","1.54","1.42","1.4","1","0.95","0.87","1.12","1.34","1.17","1.22","1.2","1.29","1.33","1.15","1.07","1.48","1.3"
"71","India","7.65","7.61","7.76","7.82","7.96","7.76","7.68","7.6","7.8","8.16","8.55","8.73","8.62","9","9.42","9.36","9.5","9.33","9.51","9.34","9.91"
"72","Indonesia","5.91","6.1","6.03","6.17","6.14","6.1","6.34","6.31","6.67","6.58","6.64","6.68","7.01","7.03","7.17","7.14","7.53","7.78","7.8","7.75","7.79"
"73","Iran","5.88","6.26","6.29","6.41","6.45","6.57","6.58","6.84","7.05","7.13","7.46","7.68","7.45","7.57","7.94","8.24","8.35","8.6","8.44","8.64","9.4"
"74","Iraq","6.06","5.38","5.82","5.83","5.85","6.73","5.68","5.79","5.59","5.52","5.96","6.47","6.63","6.57","6.55","6.47","6.47","6.58","6.43","6.65","7.12"
"75","Ireland","8.51","7.7","7.22","6.14","5.94","7.04","4.39","4.88","4.66","4.55","4.19","4.22","3.68","3.77","3.64","3.6","3.59","3.1","3.04","2.86","3.06"
"76","Israel","8","7.67","7.76","7.63","7.64","7.67","7.31","6.93","6.92","6.76","6.53","6.31","6.29","6.27","6.14","6.14","5.9","6.08","5.54","5.7","5.98"
"77","Italy","12.29","12.23","11.6","10.34","10.78","10.85","10.06","9.85","9.65","9.34","9.43","9.86","9.21","9.58","9.25","9.16","9.1","9.47","9.01","8.68","9.5"
"78","Jamaica","5.03","5.38","5.58","5.51","5.4","5.58","5.29","5.46","5.88","6.36","6.13","5.66","5.22","5.13","5.24","5.43","5.91","5.93","5.78","5.87","6.18"
"79","Japan","7.31","6.76","7.72","7.37","6.99","7.27","6.81","7.37","7.54","7.34","7.67","7.49","7.29","7.43","7.56","7.48","7.56","7.2","6.93","7.55","7.94"
"80","Jordan","5.19","5.02","5.16","5.23","5.37","5.34","5.41","5.35","5.19","4.97","4.67","4.58","4.48","4.51","4.86","4.79","4.91","4.96","4.9","4.98","5.04"
"81","Kazakhstan","13.85","13.35","13.1","12.67","12.89","12.89","13.04","12.85","13.51","13.29","14.08","12.61","12.98","12.96","13.18","13.32","12.48","12.02","12.1","12.18","12.47"
"82","Kenya","2.12","1.84","2.02","2.13","2.05","1.74","1.76","1.82","1.92","1.94","2.02","2.33","2.42","2.57","2.43","2.45","2.4","2.58","2.65","2.46","2.54"
"83","Kiribati","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Kuwait","5.63","6.42","6.58","6.13","6.5","6.38","6.13","6.66","6.39","6.36","7.31","7.55","6.97","6.59","6.61","6.57","6.1","6.7","6.59","7.04","7.26"
"85","Lao PDR","3.8","4.73","5.02","4.75","4.98","4.46","4.86","4.74","4.56","4.94","4.42","4.72","4.77","4.8","4.81","5.23","4.76","4.63","5.22","4.8","5"
"86","Latvia","11.4","11.34","10.26","10.16","11.46","11.3","10.12","11.84","13.43","11.95","11.12","11.32","12.1","10.56","10.25","10.32","10.49","9.2","9.08","8.41","9.76"
"87","Lebanon","4.68","4.71","4.55","4.78","4.75","4.8","4.75","4.7","4.73","4.63","4.98","5.31","5.28","5.39","5.32","5.16","5.28","5.48","5.39","5.41","7.71"
"88","Lesotho","2.54","2.52","2.43","2.93","2.91","2.79","2.19","2.65","3.05","2.91","3.18","3.56","4.18","3.92","4.07","4.34","4.58","4.46","4.32","4.08","4.03"
"89","Liberia",NA,NA,"4","3.33","3.75","3.83","3.73","3.55","3.28","3.59","3.36","3.19","3","3.24","3.43","3.55","3.52","3.91","3.98","3.88","3.83"
"90","Libya",NA,"5.5","5.64","5.79","5.95","5.95","5.73","5.57","5.28","5.32","5.56","5.86","6.09","7.69","5.72","6.55","7.61","7.9","8.45","7.87","8.26"
"91","Lithuania","10.21","9.81","8.99","9.1","9.9","9.98","9.24","10.98","12.3","12.01","11.42","10.88","11.91","10.88","10.6","10.35","10.3","9.87","9.69","9","9.6"
"92","Luxembourg","9.27","8.28","7.36","7.06","6.89","7.07","6.59","6.4","6.41","5.66","5.65","5.71","5.86","5.55","5.33","5.5","4.71","4.57","4.32","4.09","4.16"
"93","Madagascar","0.71","0.54","0.77","1.46","0.98","1.02","0.96","1.04","0.99","1.03","0.77","1.11","1.2","1.78","1.63","1.97","1.81","2.02","2.03","1.62","1.63"
"94","Malawi","2.39","2.09","2.29","2.65","2.36","2.01","2.12","2.26","2.16","2.51","2.33","2.15","2.16","2.19","2.15","2.05","2.06","2","1.95","1.77","1.6"
"95","Malaysia","5.69","6.34","6.27","6.18","6.45","6.33","6.64","6.75","7.42","7.05","7.16","7.45","7.05","7.68","7.72","7.77","8.22","8.33","7.73","7.63","8.17"
"96","Mali","4.52","4.12","4.28","3.85","4.02","3.81","4","3.64","3.47","3.68","3.62","3.45","3.56","3.36","3.38","3.04","3.17","3.39","3.43","3.46","3.3"
"97","Malta","9.54","9.56","9.23","9.18","9.59","10.01","9.96","8.59","7.94","9.54","9.47","9.11","10.06","8.91","8.34","7.87","8.78","7.58","7.91","7.34","8.32"
"98","Mauritania","7.15","6.64","7.04","6.53","6.49","6.46","6.11","6.5","5.71","5.56","5.02","4.83","4.84","5.06","5.2","5.1","4.83","5.18","5.09","5.29","5.28"
"99","Mauritius","0.83","0.97","1.04","1.15","1.13","1.07","1.15","1.39","1.32","1.25","1.29","1.25","1.3","1.25","1.3","1.26","1.3","1.25","1.21","1.32","1.34"
"100","Mexico","4.97","4.5","4.69","4","4.09","4.32","4.01","4.33","4.17","4.24","4.36","4.75","4.52","4.81","4.88","5.07","4.98","5.11","5.22","5.16","5.29"
"101","Moldova","11.9","11.35","10.88","10.92","11.58","11.25","10.83","11.59","11.38","10.74","10.1","10.9","11.47","10.7","10.63","9.5","9.52","10.15","10.07","9.07","9.72"
"102","Mongolia","10.05","9.75","10.16","9.87","10.63","10.16","8.98","9.33","10","9.86","9.35","10.06","10.01","9.96","9.82","9.55","8.94","8.9","9.06","9.08","9.07"
"103","Morocco","5.07","4.82","4.87","4.86","4.84","4.86","5.16","5.3","5.36","5.18","5.44","5.42","5.73","5.76","5.78","5.95","6.06","6.47","6.54","7.02","6.35"
"104","Mozambique","2.21","1.98","2.15","2.26","2.07","2.09","2.21","2.2","2.12","2.41","2.25","2.31","2.34","2.44","2.35","2.42","2.59","2.81","3.32","3.2","3.32"
"105","Namibia","4.01","3.74","3.89","4.26","4.19","4.02","3.69","3.82","3.47","3.77","3.77","4.04","3.99","4.22","4.17","4.1","4","4.24","4.2","4.1","4.12"
"106","Nepal","4.37","4.58","4.59","4.9","4.63","4.54","4.5","4.43","4.43","4.58","4.72","5.17","5.19","5.44","5.88","5.7","6.01","5.82","6.64","6.55","6.75"
"107","Netherlands","12.28","10.76","10.95","10.09","10.29","10.53","9.67","8.9","8.87","8.04","7.99","7.93","8.26","7.91","7.62","7.17","7.05","7.29","7.21","7.46","7.41"
"108","New Zealand","2.6","2.61","2.7","2.73","2.32","2.05","1.88","1.83","1.8","1.84","1.79","1.72","1.78","1.77","1.64","1.85","1.63","1.68","1.82","1.78","1.9"
"109","Nicaragua","3.57","2.86","2.9","3.11","3.09","3.3","2.99","3.39","3.01","3.46","3.23","3.46","3.43","3.65","3.53","3.65","3.58","3.85","4.1","3.76","3.74"
"110","Niger","7.77","7.01","6.84","6.64","6.2","5.88","5.88","5.63","5.1","5.15","4.52","4.55","4.55","4.62","4.74","4.5","4.46","4.92","4.81","4.7","4.53"
"111","Nigeria","9.55","8.49","9.26","8.59","8.29","8.03","8.17","7.78","7.16","7.19","6.97","6.36","6.38","6.1","6.12","5.71","5.57","5.98","5.84","5.68","5.28"
"112","Norway","7.22","7.13","6.65","5.16","5.29","5.28","4.01","2.97","4.81","2.76","3.19","3.9","2.58","3.98","2.47","2.4","3.25","1.91","1.89","1.88","2.81"
"113","Oman","6.78","6.88","7.24","7.29","7.35","7.62","7.43","7.63","8.38","8.6","8.59","8.31","8.29","9.1","8.9","8.64","8.53","8.97","8.8","9.06","8.22"
"114","Pakistan","6.88","6.94","7.1","7.15","7.15","6.95","7.2","6.72","6.89","7.04","7.11","7.08","7","7.02","7.1","6.97","7.01","7.02","7.19","7.23","7.26"
"115","Panama","3.27","2.84","2.88","2.81","2.57","2.97","2.76","3.21","3.27","3.28","3.17","3.09","3.33","3.2","3.39","3.46","3.64","3.67","3.39","2.86","3.04"
"116","Papua New Guinea","1.65","1.62","2.5","1.56","1.98","1.94","2.39","2.15","2.4","2.39","2.72","2.09","2.81","2.57","2.59","3","2.25","2.77","2.22","2.15","2.55"
"117","Paraguay","2.03","2.47","1.84","2.07","2.44","2.34","2.35","2.3","2.24","2.69","2.12","2.25","2.43","2.4","2.45","2.19","2.28","2.69","2.64","2.71","2.77"
"118","Peru","3.96","3.83","3.81","3.65","3.67","3.65","3.68","3.6","3.47","3.52","3.63","4.16","4.37","4.38","4.37","4.3","4.26","4.25","4.33","4.3","4.28"
"119","Philippines","4.1","4.07","4.2","3.69","3.85","4.05","4.21","4.33","4.21","4.2","4.25","4.27","4.13","4.25","4.3","4.37","4.51","4.58","4.36","4.59","4.87"
"120","Poland","12.28","11.92","11.3","10.76","11.19","10.82","10.42","10.94","11.32","10.87","10.39","10.4","10.85","10.07","9.86","9.83","9.35","9.37","9.39","9.36","9.3"
"121","Portugal","12.99","11.72","11.65","11.36","11.08","11.37","10.05","9.85","10.16","9.6","8.38","8.74","7.94","8.9","8.17","7.76","8.42","8.64","8.23","9","8.86"
"122","Puerto Rico","4.56","4.02","5.29","4.31","4.48","3.12","2.37","3.51","3.26","5.23","2.53","3.23","4.28","2","4.66","4.07","3.51","5.1","4.48","3.95","2.83"
"123","Qatar",NA,NA,"6.71","6.52","6.73","7.13","6.49","6.45","5.94","5.6","5.29","4.98","4.48","4.28","4.35","4.42","4.42","4.57","4.51","4.68","4.39"
"124","Romania","13.46","12.52","12.11","12.17","12.85","12.58","11.8","12.15","12.02","11.14","11.29","11.57","11.73","11.69","11.54","10.71","10.84","11.06","11.15","10.87","11.16"
"125","Russian Federation","15.69","16.23","16.57","16.42","17.09","17.12","16.18","16.53","16.11","14.88","15.16","14.76","15.77","13.93","13.22","12.89","13.03","13.27","13.51","12.84","12.82"
"126","Rwanda","4.31","3.3","3.43","3.16","3.1","2.73","2.82","2.84","2.57","2.6","2.53","2.39","2.22","2.38","2.48","2.23","2.23","2.29","2.39","2.14","2.17"
"127","Saudi Arabia","7.85","7.75","8.21","7.99","8.26","8.77","8.59","8.8","9","9.21","9.63","9.76","9.67","9.42","9.45","9.23","8.9","9.54","9.26","9.74","9.68"
"128","Senegal","4.93","4.73","4.67","4.82","5.13","4.81","5.01","4.89","4.7","5.02","5.02","4.73","4.56","4.74","4.8","4.44","4.59","4.91","4.9","5.09","4.85"
"129","Serbia","16.16","14.99","15.23","15.18","15.53","15.97","16.08","16.2","16.13","15.37","15.67","15.9","16.43","16.76","15.62","15.5","14.47","15.5","14.89","14.76","14.97"
"130","Seychelles","1.3","1.28","1.26","1.29","2.55","2.7","2.78","2.55","3.5","3.17","3.24","4.37","3.09","3.82","3.77","2.67","2.56","2.44","3.11","2.98","2.87"
"131","Sierra Leone","7.54","6.93","6.49","6.16","5.49","5.58","6.28","5.51","5.28","5.33","5.06","4.9","4.65","4.74","4.75","4.46","4.52","5.06","4.77","4.58","4.7"
"132","Singapore","9.71","10.11","9.88","9.39","8.9","7.92","7.69","7.56","8.46","7.41","6.94","7.24","6.44","6.72","7.04","7.2","6.72","7.05","6.02","6.21","6.66"
"133","Slovakia","12.36","11.91","11.2","11.06","11.36","11.09","10.5","11.38","11.33","10.31","9.74","10.22","10.02","9.92","9.21","9.13","8.47","8.97","8.62","8.47","8.66"
"134","Slovenia","14.23","13.87","12.65","11.68","11.84","11.38","10.36","10.41","10.06","8.52","8.62","9.05","8.55","8.91","8.56","8.84","7.9","8.44","8.24","7.73","9.16"
"135","Solomon Islands","0","0","0","2.1","0","0","1.94","1.84","1.72","1.6","1.49","1.57","1.47","1.3","1.24","1.2","1.18","1.15","1.11","1.07","1.03"
"136","South Africa","7.82","7.39","7.65","7.47","7.47","7.59","7.82","7.88","8.11","7.9","8.37","8.32","8.46","8.19","8.19","8.16","8.4","8.43","8.43","8.34","8.11"
"137","South Korea","7.08","8","8.58","9.1","8.77","8.93","8.45","8.5","8.46","8.24","8.18","8.43","8.08","8.24","8.16","8.57","8.56","8.33","8.47","8.42","8.56"
"138","Spain","9.98","9.61","9.35","8.81","8.75","8.51","8.28","7.79","7.82","7.41","6.78","6.95","6.26","6.9","6.79","6.19","6.32","6.92","6.77","6.63","6.51"
"139","Sri Lanka","3.26","3.43","3.73","3.76","3.59","3.87","4.03","4.28","4.19","4.51","4.61","4.68","4.74","5.2","5.33","5.19","5.49","5.03","5.52","5.9","5.97"
"140","Suriname","5.23","5.3","6.3","5.34","4.5","4.88","4.8","5.17","5.16","5.68","4.96","4.81","5.04","4.33","5.69","5.11","5.31","6.13","6.26","6.16","7.13"
"141","Sweden","9.77","9.33","8.8","6.8","7.2","7.52","6.22","6.22","7.05","5.63","5.2","5.57","5.74","5.58","4.17","4.59","5.29","4.08","3.76","3.98","4.85"
"142","Switzerland","8.73","8.81","7.86","7.41","7.06","7.24","6.23","5.98","6.27","5.42","5.73","6.13","5.32","5.46","5.45","5.47","4.77","5.13","4.96","4.32","4.71"
"143","Tajikistan","7.83","7.97","7.36","7.07","6.69","6.32","6.51","6.1","6.84","7.2","6.87","6.04","6.03","6.44","6.14","6.15","6.83","6.95","6.98","7.03","6.45"
"144","Tanzania","2.26","1.72","1.94","2.27","2.12","1.99","2.17","2.14","2.05","2.22","2.1","2.19","2.28","2.58","2.8","2.68","2.56","2.75","2.66","2.33","2.33"
