"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"43","Denmark","NA","3.69","3.99","2.3","-0.98","-0.27","4.5","1.96","3.02","1.26","0.65","-6","0.62","1.06","1.65","0.46","0.22","2.9","2.95","0.77","0.91"
"44","Dominican Republic","NA","4.07","2.79","1.04","2.67","-2.63","1.47","7.54","7.97","6.05","2.53","-0.01","7.22","2.38","1.11","3.79","5.73","5.44","5.72","3.82","4.15"
"45","Ecuador","NA","-6.48","-1.12","1.89","1.78","0.78","5.97","3.24","2.52","0.18","4.56","-1.42","1.31","6.19","3.66","3.18","1.99","-1.44","-2.84","0.98","-2.29"
"46","Egypt","NA","3.86","4.38","1.08","-0.03","0.69","1.85","2.06","4.28","4.81","5.09","2.12","2.84","-0.35","-0.27","0.01","0.59","1.85","2.42","2.34","3.82"
"47","El Salvador","NA","2.15","0.32","0.69","1.3","0.9","0.84","2.08","4.2","1.3","2.67","-2.47","2.2","2.99","2.81","1.7","1.4","1.77","2.28","1.98","-0.15"
"48","Equatorial Guinea","NA","21.95","12.9","57.5","14.67","8.84","31.68","11.81","3.47","9.92","12.71","-2.51","-13.05","2.18","4.57","-7.76","-3.25","-12.68","-11.92","-7.77","-8.41"
"49","Eritrea","NA","-0.53","-5.21","3.83","-5.53","-9.38","-0.99","-0.29","-2.72","-1.61","-12.56","1.52","-0.37","6.78",NA,"NA","NA","NA","NA","NA","NA"
"50","Estonia","NA","0.71","12.38","6.77","6.54","9.16","9.02","8.94","9.57","10.39","-3.62","-14.36","2.05","10.2","4.24","1.81","2.23","5.13","1.69","7.65","1.15"
"51","Eswatini","NA","17.99","-0.87","0.04","3.52","3.21","2.62","4.99","5.37","4.07","-0.11","1.4","3.34","2.47","4.83","3.8","0.41","1.55","0.78","0.66","1.33"
"52","Ethiopia","NA","3.04","3.67","5.49","-0.64","-4.25","11.25","9.47","8.31","8.87","8.15","6.36","9.94","8.31","5.99","7.75","7.43","7.62","6.69","6.83","4.67"
"53","Fiji","NA","8.07","-2.53","0.78","2.59","-0.36","4.25","-0.03","1.33","-1.31","0.38","-1.25","2.39","1.68","0.39","4.13","6.02","4.25","1.95","5.04","3.37"
"54","Finland","NA","4.13","6.7","3.1","1.67","1.71","4.34","2.51","2.7","6.58","0.44","-8.94","2.29","2.73","-1.52","-1.12","-1.83","1.98","2.01","4.55","-0.86"
"55","France","NA","3.19","4.07","1.5","0.82","-0.3","3.17","1.1","1.55","2.15","-0.26","-3.82","1.68","1.86","-0.15","-0.08","1.41","0.26","0.73","2.24","0.95"
"56","Gabon","NA","-10.23","-4.4","0.57","-2.16","-0.08","-1.05","1.05","-4.16","4.06","-5.65","-1.42","4.87","5.19","3.65","3.45","2.77","1.6","0.17","-0.95","-0.25"
"57","Georgia","NA","2.99","1.81","6.83","3.45","6.76","3.6","6.11","10.01","22.24","1.55","-5.12","-1.36","10.45","9.59","5.71","0.55","2.46","2.23","-2.26","3.65"
"58","Germany","NA","3.02","3.59","2.17","-0.57","-0.54","2.33","1","3.77","3.96","0.92","-5.93","3.77","4.68","0.66","-0.14","2.76","0.89","1.23","3.05","-0.22"
"59","Ghana","NA","2.02","0.64","1.65","1.11","2.59","2.2","3.18","3.47","1.01","6.4","2.39","4.97","10.98","6.4","4.85","0.36","-1.08","0.92","5.31","4.34"
"60","Greece","NA","2.29","3.77","4.39","3.45","6.17","6.02","0.75","5.89","3.18","-0.54","-3.99","-5.31","-9.44","-6.49","-2.12","2.14","0.29","0.61","2.52","0.71"
"61","Greenland","NA","1.13","6.95","0.83","-1.5","4.12","6.02","4.76","5.37","3.06","6.54","1.09","1.39","-0.72","1.47","-1.26","5.23","-2.33","5","0.38","3.41"
"62","Grenada","NA","4.77","2.82","-4.94","3.38","8.12","-0.86","12.15","-4.22","3.64","3.6","-7.43","-1.4","1.26","-2.72","2.59","7.8","3.61","3.52","5.7","14.04"
"63","Guatemala","NA","2.23","-0.18","-0.04","0.93","-0.61","0.73","0.02","2.71","3.52","0.91","-2.33","0.6","1.43","0.68","1.08","1.7","1.71","0.8","0.66","0.04"
"64","Guinea","NA","3.29","1.85","3.73","2.72","-0.72","-0.28","1.55","-0.52","4.02","1.76","-2.86","2.14","3.01","3.5","1.82","0.98","0.89","8.49","7.76","2.12"
"65","Guinea-Bissau","NA","-2.11","2.82","0.96","-3.73","-0.67","0.81","2.19","-0.87","0.47","1.74","0.26","2.72","4.87","-3.49","1.05","-1.25","3.09","3.85","3.49","3.41"
