"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"57","Georgia","92.86","93.65","93.5","95.38","96.34","96.67","96.67","96.45","96.42","95.86","96.48","95.92","96.51","95.95","95.69","95.66","95.4","95.17","95.24","95.35","95.56"
"58","Germany","93.46","93.13","92.77","92.24","92.4","92.05","91.34","91.29","91.44","91.2","91.22","91.58","91.7","91.73","91.22","91.2","90.97","91.23","91.03","90.62","91.16"
"59","Ghana","79.34","76.46","80.92","77.76","76.88","77.8","81.53","80.31","77.45","78.31","80.56","76.75","75.16","76.47","74.52","72.31","72.3","74.05","75.17","72.67","72.04"
"60","Greece","91.8","91.98","91.46","91.04","91.31","91.1","90.86","90.51","90.87","90.85","91.26","91.11","91.16","90.93","90.49","90.88","90.94","91.03","91.27","90.3","91.16"
"61","Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Grenada","82.84","81.91","89.99","84.04","81.98","77.84","53.27","69.42","60.51","88.26","62.05","73.95","80.13","61.5","72.08","59.19","64.51","79.64","76.46","74.89","46.07"
"63","Guatemala","84.97","79.41","79.94","74.89","72.38","73.63","68.18","70.34","70.28","70.22","71.36","72.52","72.18","74.29","74","72.5","66.04","69.52","67.59","66.36","63.86"
"64","Guinea","91.48","90.82","90.69","89.35","89.66","88.77","89.6","89.76","89.01","90.21","88.49","86.5","87.05","85.1","85.05","78.76","78.65","80.46","80.48","79.61","79.16"
"65","Guinea-Bissau","82.87","81.01","78.76","76.82","76.73","74.6","74.32","73.22","72.84","70.39","73.45","66.71","66.52","64.04","61.8","67.4","66.82","68.25","68.12","66.68","66.06"
"66","Guyana","81.42","78.65","78.33","74.49","73.95","75.46","75.42","76.1","78.89","81.8","78.7","77.15","78.52","77.47","70.46","64.67","66.87","68.96","67.21","66.51","65.63"
"67","Haiti","78.4","77.13","78.13","73.98","69.06","71.42","62.76","65.66","65.07","64.97","62.87","63","61.47","60.48","65.76","65.24","60.28","57.61","53.99","52.1","53.67"
"68","Honduras","62.78","53.97","55.91","49.73","48.53","48.33","40.48","46.89","47.59","45.79","47.58","50.31","49.13","52.53","53.73","55.88","53.87","54.59","53.82","51.22","51.44"
"69","Hungary","88.04","87.97","88.03","87.23","88.38","88.08","87.93","89.07","89.18","88.37","88.02","89.11","89.11","89.08","88.73","89.06","88.95","89.24","87.91","87.67","88.27"
"70","Iceland","42.83","41.93","33.24","24.34","44.01","40.21","43.08","23.02","19.15","14.36","26.93","31.14","18.47","24.8","21.48","26.91","28.97","20.11","17.36","37.17","30.22"
"71","India","58.76","58.11","58.26","59.03","58.9","59.19","57.79","57.83","58.67","59.36","59.29","57.86","57.79","58.66","58.95","59.64","58.65","59.02","60.71","60.76","62.15"
"72","Indonesia","69.64","68.22","69.07","68.14","68.09","65.89","67.58","68.44","69.27","69.05","70.76","70.61","72.47","72.95","73.88","74.4","74.45","75.58","75.19","74.89","74.61"
"73","Iran","52.15","49.87","49.26","47.63","48.34","49.64","47.34","45.98","45.36","45.66","46.1","45.17","45.31","45.57","42.25","40.9","40.96","41.65","43.57","42.86","40.23"
"74","Iraq","50.77","60.39","57.99","52.49","51.21","41.61","50.87","53.12","57.03","59.88","59.7","54.63","52.18","51.12","51.19","49.83","47.46","50.38","51.7","51.04","48.96"
"75","Ireland","90.55","90.01","89.54","87.5","87.82","89.96","84.44","85.92","85.38","85.74","83.72","84.54","82.4","84.34","83.19","83.53","84.56","84.78","84.34","84.74","86.77"
"76","Israel","88.25","87.57","87.42","86.97","86.02","85.54","85.17","85.16","84.91","84.58","84.1","83.57","82.92","83.51","81.68","83.89","84.61","84.76","83.74","84.21","85.22"
"77","Italy","94.86","94.74","94.5","93.84","93.89","93.57","92.88","92.62","92.55","92.37","92.47","93.12","92.44","92.81","92.57","92.85","93.04","93.04","92.68","92.31","93.1"
"78","Jamaica","55.18","56.63","57.7","56.45","55.65","56.95","53.51","54.29","51.44","55.27","60.13","63.89","62.25","60.54","62.74","60.88","64.33","64.87","61.77","61.74","63.45"
"79","Japan","91.4","90.18","91.38","90.92","89.93","90.25","89.63","90.34","90.64","90.05","90.84","90.44","89.96","89.51","89.31","89","89.28","89.07","88.58","89.5","90.08"
"80","Jordan","40.94","39.73","40.55","42.84","42.91","44.37","42.21","41.19","41.41","40.07","40.4","39.74","40.17","39.86","35.36","35.44","33.57","34.76","33.24","34.51","35.58"
"81","Kazakhstan","53.93","56.26","58.62","62.6","62.83","61.33","61.2","61.2","61.79","61.38","57.38","57.31","57.09","56.65","56.52","56.11","56.28","55.62","54.58","54.28","50.56"
"82","Kenya","61.25","54.25","53.23","59.52","57.98","56.56","52.51","51.32","50.3","53.25","51.28","51.63","52.59","55.92","57.8","54.96","52.93","51.78","48.76","42.88","45.58"
"83","Kiribati","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Kuwait","68.2","68.7","67.59","62.61","63.44","66.12","65.85","67.16","66.41","67.62","70.56","66.36","62.63","62.5","64.57","61.05","59.12","60.31","59.65","60.16","58.96"
"85","Lao PDR","87.78","93.14","89.37","89.17","87.03","85.3","85.13","85.62","84.97","83.69","83.06","80.51","82.19","78.87","77.9","74.81","79.61","79.89","77.9","75.82","76.56"
"86","Latvia","86.05","87.12","87.15","86.99","89.09","89.27","88.68","90.97","92.32","91.64","91.02","90.43","89.24","89.21","89.28","89.59","90.06","88.7","88.13","87.62","89.61"
"87","Lebanon","55.86","53.39","56.07","55.71","56.27","57.27","58.05","58.28","60.69","65.93","63.01","61.16","64.71","64.46","60.15","59.53","57.59","57.8","56.3","56.14","68.43"
"88","Lesotho","91.78","91.63","89","89.62","90.01","89.32","87.79","88.63","90.08","86.47","87.78","91.91","81.68","91.49","91.5","79.83","79.31","79.64","79.02","76.12","75.27"
"89","Liberia","NA","NA","87.24","81.55","82.66","72.57","75","71.77","64.91","66.13","68.04","69.25","67.76","67.34","66.88","58.1","55.73","58.32","55.59","50.52","50.19"
"90","Libya","NA","48.01","47.12","46.78","44.73","46.51","45.46","47.68","48.15","54.49","53.8","52.78","52.86","31.08","46.01","43.34","34.38","33.61","32.76","36.61","44.79"
"91","Lithuania","81.71","83.43","84.46","84.4","86.24","87.37","86.37","88.42","89.99","89.69","89.29","88.8","89.08","88.21","87.97","88.8","89.03","88.31","88.19","86.69","87.62"
"92","Luxembourg","93.28","92.6","91.55","90.69","89.94","89.78","87.7","87.27","87.87","87.7","87.46","87.49","87.47","86.95","86.38","87.66","86.6","87.2","86.83","85.63","85.53"
"93","Madagascar","44.06","25.51","26.93","62.47","27.38","23.25","11.63","24.68","18.73","22.75","19.16","43.05","38.5","41.15","29.73","31.83","28.03","36.14","34.84","13.08","15.87"
"94","Malawi","81.44","78.97","76.71","75.1","70.37","67.67","64.83","59.24","57.61","60.75","60.4","66.23","65.7","68.92","69.22","69.27","70.08","67.87","65.92","59.07","55.88"
"95","Malaysia","61.21","63.49","62.34","59.81","59.89","58.35","59.11","58.28","61.75","57.93","57.22","61.59","58.04","62.53","63.62","62.07","63.66","65.2","63.88","64.65","66.4"
"96","Mali","95","94.63","94.45","94.52","94.67","94.65","94.7","94.46","94.13","94.59","94.33","94.46","94.69","94.49","94.47","91.03","91.07","92.03","91.67","91.25","90.89"
"97","Malta","89.16","89.26","90.59","88.89","90.17","89.4","89.23","87.04","86.64","88.47","89.23","88.84","89.59","88.27","86.83","88.09","90.06","92.52","93.9","93.56","94.69"
"98","Mauritania","61.88","60.67","60.21","56.92","58.25","57.29","59.7","57.41","62.77","63.36","70.32","67.52","66.63","63.95","64.77","63","61.39","62.81","59.93","58.03","57.33"
"99","Mauritius","0","0","0","0","0","0","0","13.73","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Mexico","74.88","73.29","73.48","68.34","67.89","67.9","65.32","66.66","64.96","65.15","65.71","66.81","65.13","67.13","67.12","68.93","69.43","70.09","70.42","69.48","70.97"
"101","Moldova","53.05","56.37","57.35","57.7","61.45","59.16","59.75","62.68","63.73","62.78","62.8","63.26","63.47","62.19","61.74","64.6","62.74","62.98","63.78","61.92","61.96"
"102","Mongolia","35.9","34.63","33.88","32.5","34.84","37.23","32.19","28.99","28.84","30.49","31.54","31.13","30.73","33.32","33.29","32.63","33.27","36.11","35.75","35.16","34.53"
"103","Morocco","69.66","66.16","65.76","64.11","63.1","64.88","64.5","63.8","65.21","63.99","65.01","65.73","66.09","64.69","63.76","65.88","65.82","67.84","66.77","68.32","64.44"
"104","Mozambique","62.55","62.17","56.65","58.03","54.1","45.51","44.5","48.67","49.11","50.55","52.55","51.26","51.09","49.88","51.97","50.94","46.07","42.11","33.06","28.7","30.33"
"105","Namibia","78.97","78.48","80.55","77.06","80.13","78.27","77.73","77.07","75.98","78","75.67","76.04","76.23","76.51","75.89","74.87","74.15","74.99","72.74","70.95","69.86"
"106","Nepal","83.88","80.27","80.7","81.04","83.51","81.21","83.68","81.82","85.08","85.42","84.82","82.31","79.94","78.77","78.04","77.92","76.47","78.17","71.61","71.87","72.9"
"107","Netherlands","93.99","93.52","93.75","93.06","93.05","93.01","92.28","91.85","92.13","91.42","91.33","91.01","90.76","90.92","90.49","89.76","89.98","89.88","89.7","90.4","90.6"
"108","New Zealand","69.04","68.51","68.76","67.73","62.97","58","55.66","54.2","53.6","56.14","52.35","53.21","54.68","55.32","49.37","55.29","48.86","51.61","56.67","53.71","58.04"
"109","Nicaragua","52.26","43.75","43.17","44.59","41.69","42.47","37.15","48.04","38.52","46.76","46.12","47.45","45.95","49.47","50.37","54.6","52.52","52.24","50.58","47.76","43.15"
"110","Niger","90.7","88.7","92.1","91.98","91.42","90.36","89.53","89.9","89.23","88.8","87.56","83.99","80.96","80.82","77.45","78.15","77.33","79.35","80.27","78.04","77.36"
"111","Nigeria","83.43","81.42","81.69","79.91","83.33","81.89","83.94","84.05","85.06","86.95","86.23","87.43","86.32","85.41","85.23","85.05","86.03","86.65","84.82","83.61","81.85"
"112","Norway","94.94","94.7","94.96","93.44","93.65","93.16","91.1","88.52","92.84","87.33","88.81","90.8","85.27","90.66","85.25","84.96","88.76","80.23","80.07","78.17","85.07"
"113","Oman","79.86","77.19","76.33","74.21","71.88","69.99","69.5","69.01","65.17","64.22","66.75","64.71","62.32","59.1","57.52","55.08","52.11","52.72","52.63","52.21","44.76"
"114","Pakistan","63.97","61.64","62.92","62.25","62.53","61.26","60.28","59.04","58.29","55.87","57.41","56.96","57.77","57.75","58.78","58.46","57.58","57.36","58.09","56.53","56.76"
"115","Panama","68.8","68.97","68.91","61.61","63.36","68.41","67.32","65.74","66.51","70.74","72.02","65.5","66.42","65.53","68.31","70.11","70.62","71.75","71.12","66.7","68.02"
"116","Papua New Guinea","52.57","64.2","72.84","53.43","51.76","46.65","51.72","38.87","46.91","56.16","62.42","60.38","73.22","64.36","54.78","52.4","61.03","73.82","66.99","66.17","69.71"
"117","Paraguay","69.19","73.27","69.54","71.07","73.28","72.28","72.59","74.05","72.78","77.65","70.69","71.47","72.84","71.93","70.64","69.51","70.02","72.52","68.97","70.36","70.57"
"118","Peru","76.97","74.24","74.59","75.13","75.02","75.88","73.21","73.74","74.49","74.13","73.47","74.86","75.61","75.08","75.78","75.9","74.22","73.96","72.94","74.56","73.6"
"119","Philippines","55.16","56.46","58.27","54.55","56.28","58.63","61.48","61.93","65.87","64.71","65.32","64.96","62.98","64.65","64.66","63.4","63.09","62.43","59.24","58.91","61.68"
"120","Poland","74.86","75.46","75.7","74.55","76.09","74.64","74.26","75.91","76.68","76.92","76.78","77.95","78.01","77.17","77.16","77.28","77.33","77.59","76.96","76.82","76.92"
"121","Portugal","93.96","92.68","92.81","92.7","91.94","92.5","91.28","90.54","91.46","91.25","90.13","90.19","90.13","91.15","90.08","89.58","90.38","89.81","89.42","89.6","90.22"
"122","Puerto Rico","98.5","98.28","98.71","98.5","98.55","97.65","97.22","98.06","97.83","98.61","96.91","97.7","98.48","96.73","97.97","97.55","96.97","97.8","97.24","96.76","94.76"
